team_id,team_name,region_league,team_url
YJaj0Opm,Eindhoven FC,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/eindhoven-fc/YJaj0Opm/
Stafar0g,FC Emmen,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/fc-emmen/Stafar0g/
SQGBcMU5,Helmond,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/helmond-sport/SQGBcMU5/
lKIgIV5b,Jong AZ,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/jong-az-alkmaar/lKIgIV5b/
2J6mntb0,Jong Utrecht,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/jong-utrecht/2J6mntb0/
IsK0b0aI,Jong PSV,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/almere-city/IsK0b0aI/
8Au8eRom,Almere City,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/jong-psv/8Au8eRom/
GncWwxTm,Maastricht,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/jong-ajax/GncWwxTm/
YPQnAtpC,Jong Ajax,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/maastricht/YPQnAtpC/
lAgLCkT3,Oss,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/den-haag/lAgLCkT3/
40amSqFn,Den Haag,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/top-oss/40amSqFn/
QRyYgO7J,Willem II,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/cambuur/QRyYgO7J/
6u3qag0G,Cambuur,NETHERLANDS - Eerste Divisie,https://www.flashscore.com/team/willem-ii/6u3qag0G/
ULGuGvHA,Aarau,SWITZERLAND - Challenge League,https://www.flashscore.com/team/aarau/ULGuGvHA/
2yxbMEDr,Etoile-Carouge,SWITZERLAND - Challenge League,https://www.flashscore.com/team/etoile-carouge/2yxbMEDr/
KbS1suSm,Union Berlin,GERMANY - Bundesliga,https://www.flashscore.com/team/rb-leipzig/KbS1suSm/
pzHW4oaE,RB Leipzig,GERMANY - Bundesliga,https://www.flashscore.com/team/union-berlin/pzHW4oaE/
Yk4H6LHn,Amstetten,AUSTRIA - 2. Liga,https://www.flashscore.com/team/admira/Yk4H6LHn/
YHWHwmRf,Admira,AUSTRIA - 2. Liga,https://www.flashscore.com/team/amstetten/YHWHwmRf/
n38Nktmn,Palermo,ITALY - Serie B,https://www.flashscore.com/team/palermo/n38Nktmn/
nJbCGx2U,Sampdoria,ITALY - Serie B,https://www.flashscore.com/team/sampdoria/nJbCGx2U/
pW9laeGO,Juventus U23,ITALY - Serie C - Group B,https://www.flashscore.com/team/juventus/pW9laeGO/
drgCKhvg,Pianese,ITALY - Serie C - Group B,https://www.flashscore.com/team/pianese/drgCKhvg/
UytPaaEP,Cultural Leonesa,SPAIN - LaLiga2,https://www.flashscore.com/team/huesca/UytPaaEP/
O6FowKBc,Huesca,SPAIN - LaLiga2,https://www.flashscore.com/team/leonesa/O6FowKBc/
UTX26rhg,CE Europa,SPAIN - Primera RFEF - Group 2,https://www.flashscore.com/team/antequera/UTX26rhg/
UkEeaAlL,Antequera,SPAIN - Primera RFEF - Group 2,https://www.flashscore.com/team/ce-europa/UkEeaAlL/
SAlF91iL,Angers,FRANCE - Ligue 1,https://www.flashscore.com/team/angers/SAlF91iL/
veuetnGG,Nantes,FRANCE - Ligue 1,https://www.flashscore.com/team/nantes/veuetnGG/
G8lYsMgU,Lecce,ITALY - Serie A,https://www.flashscore.com/team/lecce/G8lYsMgU/
roasMsOT,Pisa,ITALY - Serie A,https://www.flashscore.com/team/pisa/roasMsOT/
dYlTycNN,St. Liege,BELGIUM - Jupiler Pro League,https://www.flashscore.com/team/leuven/dYlTycNN/
vsnvCI6G,Leuven,BELGIUM - Jupiler Pro League,https://www.flashscore.com/team/st-liege/vsnvCI6G/
l85WT9To,Coleraine,NORTHERN IRELAND - NIFL Premiership,https://www.flashscore.com/team/bangor-fc/l85WT9To/
2B9zTTrh,Bangor FC,NORTHERN IRELAND - NIFL Premiership,https://www.flashscore.com/team/coleraine/2B9zTTrh/
Uax8a0SC,Larne,NORTHERN IRELAND - NIFL Premiership,https://www.flashscore.com/team/glentoran/Uax8a0SC/
